id,Chamber,District,Party,city,counties,capital_phone,office_phone,home_phone,email,Timestamp,Name,Employer,Title,Type,Spouse,Spouse_employer,Spouse_title,Spouse_type,income1,income2,income3,income4,special1,special2,special3,lobby_client,Real_estate1,Real_estate2,Real_estate3,Real_estate4,Biz_interest1,Biz_interes2,Biz_ interest3,board1,board2,board3,license1,license2,license3,agency_biz1,agency_biz2,agency_biz3,agency_rep1,agency_rep2,agency_rep3,Other,Year took office
11,House,11,Democrat,,,,,,,2/15/17 18:45,Javier Martinez,Partnership for Community Action,Executive Director,nonprofit,Diana Martinez,University of New Mexico Health Sciences Center,program manager,educational pipeline programs,Partnership for Community Action/Javier Martinez,,,,,,,,,,,,,,,,,,law license/Javier Martinez,,,,,,,,,,2015
12,House,12,Democrat,,,,,,,2/17/17 11:05,Patricio Ruilobo,Albuquerque Public Schools,police sergeant,civil service,Denise Ruilobo,Presbyterian Health Care/Albuquerque Ambulance,,,Presbyterian Health Care/Denise Ruilobo,PERA/Patricio Ruilobo,Albuquerque Public Schools/Patricio Ruilobo,,,,,,Patricio Ruilobo/San Juan/Second home,,,,,,,,,,GB98/Patricio Ruilobo,,,,,,,,,,2015
13,House,13,Democrat,,,,,,,2/17/17 10:51,Patricia Roybal Caballero,NA,,,Ricardo Carlos Caballero,,,,retirement/Patricia Roybal Caballero,retirement/Ricardo Carlos Caballero,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
14,House,14,Democrat,,,,,,,2/14/17 10:19,Miguel Garcia,retired,,,none,,,,ERB retirement,Social Security,,,,,,,,,,,,,,,,,,,,,,,,,,,1997
15,House,15,Republican,,,,,,,2/14/17 16:29,Sarah Maestas Barnes,Resnick & Louis,Attorney,law firm,Harry Barnes,Transmission & Distribution Services,executive director,professional engineering and surveying,Resnick & Louis/Sarah Maestas Barnes,Transmission & Distribution Services/Harry Barnes,,,law practice/Sarah Maestas Barnes,professional engineer & surveying/Harry Barnes,,,RDNC Harry Barnes & others/Bernalillo/vacant residential lot,T&D Fortress Harry Barnes & others/Bernalillo/commercial building,,,,,,,,,law license/Sarah Maestas Barnes,,,HSD/Harry Barnes partial owner,,,,,,,2015
16,House,16,Democrat,,,,,,,2/14/17 16:07,Antonio Maestas,MoeJustice,owner,legal services,Vanessa Alarid,Alarid Consulting,,,MoeJustice/Antonio Maestas,Alarid Consulting/Vanessa Alarid,,,personal injury lawyer/Antonio Maestas,,,19 employers listed for Vanessa Alarid,Vanessa Alarid/Bernalillo/residential,,,,,,,,,,law license/Antonio Maestas,,,,,,MVD/Antonio Maestas,Governor & Legislature/Vanessa Alarid,PRC & DOT/Vanessa Alarid,,2007
17,House,17,Democrat,,,,,,,2/13/17 16:40,Deborah Armstrong,Delta Consulting Group,President,association and nonprofit management,,,,,Salary,"Stocks, bonds, market holidings",Rental income,consulting fees,management and political consulting,,,,Deborah Armstrong/Santa Fe/Residential,Deborah Armstrong/Santa Fe/Commercial,,,EJS Strategies/owner/political consulting,,,Delta Consulting Group,,,Attorney,,,,,,,,,"As an employee of Delta, Armstrong provided services of more than $5,000 to the New Mexico Medical Insurance Pool, a quasi-governmental entity.",2015
18,House,18,Democrat,,,,,,,2/14/17 8:38,Gail Chasey,self,attorney,law,David Norvell,retired,,,ERB/Gail Chasey,Social Security/Gail Chasey & David Norvell,Law practice/Gail Chasey,PERA/Gail Chasey & David Norvell,court-appointed attorney/Gail Chasey,,,,,,,,,,,,,,State bar/Gail Chasey,,,Contract with 13th Judicial District/Gail Chasey,,,,,,,1997
19,House,19,Democrat,,,,,,,2/17/17 13:28,Sheryl Williams Stapleton,Albuquerque Public Schools,administrator,education,Ed Stapleton,self,manager,restaurant,Albuquerque Public Schools/Sheryl Williams Stapleton,,,,,,,,Sheryl Williams Stapleton/Sandoval/land,,,,,,,,,,education/Sheryl Williams Stapleton,,,,,,,,,,1994
20,House,20,Republican,,,,,,,2/14/17 9:02,James Dines,Retired,,,Nancy Wood,retired,,,General stocks & bonds/both,Social security & annuities/both,legislative per diem and mileage/Jim Dines,APS pension/Nancy Wood,,,,,,,,,,,,,,,,,,,,,,,,"Nancy Wood received less than $200 in royalties from an oil well in Eddy County, and received a pension from Albuquerque Public Schools",2015
21,House,21,Democrat,,,,,,,2/17/17 11:35,Debra Sarinana,"Albuquerque Public Schools, Manzana High School",Math teacher,education,NA,,,,"$67,385 APS",,,,,,,,,,,,,,,,,,teaching license,,,,,,,,,,2017
22,House,22,Republican,,,,,,,2/17/17 11:50,James Smith,retired,,,Lori Harris,Entranosa Water and Wastewater,manager,water utility,Educational retirement/James Smith,Entarosa Water and Wastewater/Lori Harris,Roger Cox & Associates/James Smith,Entarosa Water and Wastewater/James Smith,Computer consulting/James Smith,real estate associate broker/James Smith,,,Lori Harris/Bernalillo/rental property,,,,,,,,,,teachers license/James Smith,associate real estate broker/James Smith,GB98 and bail bond licenses/Lori Harris,,,,,,,,2011
23,House,23,Democrat,,,,,,,2/14/17 9:22,Daymon Ely,Law Office of Daymon Ely,attorney,law,Cynthia Fry,retired court of appeals judge,,,law firm/Daymon Ely,,,,practice focuses on suing attorneys,,,,both/Bernalillo/law office,,,,,,,,,,law license/Daymon Ely,law license/Cynthia Fry,,,,,,,,,2017
24,House,24,Democrat,,,,,,,2/17/17 12:29,Elizabeth Thomson,NA,,,Leo Hollins Jr.,retired,,,G.E. pension plan/Leo Hollins Jr.,ERA retirement/Elizabeth Thomson,DDSD Family living/Leo Hollins Jr.,,,,,,Elizabeth Thomson and Leo Hollins/Bernalillo/home,Elizabeth Thomson and Leo Hollins/Bernalillo/home,Elizabeth Thomson & sisters/Bernalillo/land,,,,,,,,physical therapy/Elizabeth Thomson,PED level 3 PT provider/Elizabeth Thomson,,DDSD family living provider/Leo Hollins Jr.,,,,,,,"2013, 2017"
25,House,25,Democrat,,,,,,,2/17/17 13:20,Christine Trujillo,retired,,,Dale Petty,Sunrise roofing,roofing sales,roofing,"$25,000 pension and work/Dale Petty","$17,000 pension/Christine Trujillo","$15,000 Social Security/Christine Trujillo",,,,,,Dale Petty/Curry/farmland,Christine Trujillo/Taos/ranchland,,,,,,,,,teaching license,,,,,,,,,,2013
26,House,26,Democrat,,,,,,,2/14/17 15:55,Georgene Louis,Pueblo of Isleta,Executive director,gaming regulation,NA,,,,Pueblo of Isleta,,,,gaming regulation,,,,,,,,,,,,,,law license,,,,,,,,,,2013
27,House,27,Republican,,,,,,,2/14/17 15:25,"Lorenzo ""Larry"" Larranaga",self-employed,,ranching/rental properties,Charletta Larranaga,self employed,partner,ranching,Ranching and rental income/Larry Larranaga,PERA/Social Security/Larry Larranaga,West Partners LLC/Larry Larranaga,"401K, stocks, bonds/Larry Larranaga",,,,,Larry Larranaga/Guadalupe/ranch,Larry Larranaga/Torrence/ranch,Larry Larranaga/Bernalillo/rental properties,,,,,,,,professional engineer/Larry Larranaga,,,,,,,,,,1994
28,House,28,Republican,,,,,,,2/14/17 13:36,Jimmie Hall,retired,,,Laura Hall,REDW (??) Stanley,senior portfolio manager,investments,pension & Social Security/Jimmie Hall,Salary/Laura Hall,,,,,,,Both with Rittmans(SP?)/Colfax/vacation home,,,,,,,,,,,,,,,,,,,,2005
29,House,29,Republican,,,,,,,2/13/17 16:31,David Adkins,New Covenant Church,Pastor,church,Anne Adkins,self,owner,retail,New Covenant Church/David Adkins,The Specialty Shop/David Adkins & Anne Adkins,A&W Enterprises/David Adkins,Footprints Home Care/David Adkins,,,,,TBAB Real Estate/Bernalillo/Office complex/3830 Commons,,,,The Specialty Shop/Retail/David Adkins,A&W Enterprises/Dumpsters/David Adkins,Footprints Home Care/David Adkins,,,,Ordained pastor/David Adkins,,,Department of Health,,,,,,,2015
30,House,30,Republican,,,,,,,2/14/17 10:22,Nate Gentry,Gentry Law Firm,Attorney,law,Erin Gentry,Hill & Knowlton,vice president,public relations,Hill & Knowlton/Erin Gentry,Gentry Law Firm/Nate Gentry,,,family law/Nate Gentry,,,,Nate Gentry/Bernalillo/5 acres on west side of ABQ,,,,,,,Tickets for Day(??) nonprofit/both,,,law license/Nate Gentry,,,,,,,,,,2011
31,House,31,Republican,,,,,,,2/17/17 10:01,William Rehm,B.R. and Associates,owner,"private investigator, traffic crash reconstruction, police instruction",none,,,,PERA pension,B.R. and Associates,,,,,,,Bill Rehm/Bernalillo/residential home,Bill Rehm/Rio Arriba/cabin and three lots,,,,,,Progress New Mexico,,,Private investigator,,,"State, county, universities or cities in New Mexico",,,"State, county, universities or cities in New Mexico",,,"Assists in civil prosecution, civil and tort defense and plaintiff work, police course instruction, expert witness testimony, civil defense work for railroads",2006
32,House,32,Democrat,,,,,,,2/17/17 12:18,Candie Sweetser,Luna County Broadcasting Co.,owner,radio station,John Sweetser,retired farmer,,,Luna County Broadcasting & Western NM University/Candie Sweetser,Raymond James/Candie Sweetser,Edward Jones/Candie and John Sweetser,Social Security/John Sweetser,,,,,John & Candie Sweetser/Luna/house & farm,John Sweetser/Luna/farm,Candie Sweetser/Luna/radio station,Candie Sweetser/Luna/house,Plaza de Florida/stockholder member/John & Candie Sweetser/grocery story and real estate,,,,,,,,,,,,,,,,2017
33,House,33,Democrat,,,,,,,2/15/17 18:52,Bill McCamley,NA,,,NA,,,,IDEALS Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013
34,House,34,Democrat,,,,,,,2/14/17 10:33,Bealquin Gomez,retired from New Mexico State University extension,,,Virginia Gomez,Las Cruces School District,substitute teacher,public schools,"$61,000 pensions/Bealquin Gomez","$39,000 consulting/Bealquin Gomez","$5,654 pension annuity/Bealquin Gomez","$6,000/Virginia Gomez",,,,,Virginia Gomez/Dona Ana/Second home & Acreage,,,,,,,CURRA/Bealquin Gomez,La Mesa Lyons (??)/Bealquin Gomez,Lower Rio Grande PWWA/Bealquin Gomez,,,,,,,,,,,2015
35,House,35,Democrat,,,,,,,2/17/17 11:01,Angelica Rubio,self employed,consultant,,,,,,Angelica Rubio Consulting/Angelica Rubio,,,,communications/nonprofit management,,,,Angelica Rubio/Chaves/home her parents live in,,,,,,,,,,,,,,,,,,,Serves on board of directors of Downtown Las Cruces Partnership,2017
36,House,36,Democrat,,,,,,,2/17/17 11:45,Nathan Small,New Mexico Wilderness Alliance,Conservation coordinator,conservation,Xochitl Liana Torres Small,Kemp-Smith,associate civil defense attorney,litigation lawyer,U.S. Federal Courts/Xochitl Liana Torres Small,Kemp-Smith/Xochitl Liana Torres Small,New Mexico Wilderness Alliance/Nathan Small,,civil defense litigation/Xochitl Liana Torres Small,,,,,,,,,,,,,,law license/Xochitl Liana Torres Small,,,,,,,,,"Nathan Small is one of three LLC members for Outback a Horseback, specializing in horseback trail rides.",2017
37,House,37,Democrat,,,,,,,2/14/17 9:49,Joanne Ferrary,retired,,,Richard Ferrary,retired,,,Social security/both,PERA/Richard Ferrary,,,,,,,,,,,,,,,,,,,,,,,,,,,2017
38,House,38,Republican,,,,,,,2/14/17 9:15,Rebecca Dow,Apple Tree Educational Center,CEO,nonprofit,David Aaron Dow,NM Department of Health,senior systems analyst 3,programmer,Apple Tree/Rebecca Dow,BGCSC & Sierra County/Rebecca Dow,"NMCCEA, OpraCare & Dow Technology/D. Aaron Dow",Department of Health/D. Aaron Dow,,,,,Both/Sierra/lot with home,,,,,,,,,,,,,,,,Truth or Consequences Housing Authority/D. Aaron Dow,,,,2017
39,House,39,Democrat,,,,,,,2/15/17 18:49,Rodolpho Martinez,retired,,,Holley Hudgins,Gila Regional Medical Center,director of cancer center,health care,Social security & Veteran's Administration pension/Rodolpho Martinez,Gila Regional Medical Center/Holley Hudgins,,,,,,,Holley Hudgins/Grant/house,Rodolpho Martinez/Grant/house,,,,,,,,,Electrical journeyman/Rodolpho Martinez,,,,,,,,,,2017
40,House,40,Democrat,,,,,,,2/17/17 11:08,Nick Salazar,University of California/Los Alamos Laboratory,laboratory associate,government relations,Maria Salazar,NA,,,retirement/Nick Salazar,Los Alamos National Laboratories/Nick Salazar,body of government member compensation/Nick Salazar,,,,,,,,,,,,,,,,,,,,,,,,,,1973
41,House,41,Democrat,,,,,,,2/17/17 10:23,Debbie Rodella,N/A,,,Thomas Rodella,retired,,,retirement pension/Thomas Rodella,,,,,,,,Debbie & Thomas Rodella/Rio Arriba/vacant land,Debbie & Thomas Rodella/Bernalillo/second home,,,,,,,,,,,,,,,,,,,1993
42,House,42,Democrat,,,,,,,2/14/17 13:28,"Roberto ""Bobby"" Gonzales",retired educator,,,Charlene Gonzales,retired educator,,,NMERA/Bobby Gonzales,NMERA/Charlene Gonzales,Social Security/Bobby Gonzales,,,,,,Both/Taos/7 commercial and 7 residential rentals,both/Taos/vacant commercial property,,,,,,,,,educator/administrator/Bobby Gonzales,educator/administrator/Charlene Gonzales,,Northern Regional Housing Authority apartment rentals,,,,,,,1995
43,House,43,Democrat,,,,,,,2/17/17 10:14,Stephanie Garcia Richard,Pojoaque Valley Schools,curriculum coordinator,education,Eric Vasquez,self employed/Daily Post Media Group,,,Pojoaque Schools/Stephanie Garcia Richard,Earnings from business/Eric Vasquez,contract earnings w MSC via RDC/Eric Vasquez,,,,,,Eric Vasquez/Mora/family property,,,,,,,Daily Post Media Group/Eric Vasquez,,,K-8 teaching license/Stephanie Garcia Richard,,,,,,,,,,2013
44,House,44,Republican,,,,,,,2/17/17 9:51,Jane Powdrell-Culbert,self,owner,consulting,Clarence Culbert,retired military,,,,,,,,,,,Jane Powdrell-Culbert/Bernalillo/rental property,,,,,,,,,,,,,,,,,,,,2003
45,House,45,Democrat,,,,,,,2/17/17 13:23,Jim Trujillo,retired,,,Victoria Trujillo,Santa Fe County Clerk's office,deputy county clerk,county government,Social Security/Jim and Victoria Trujillo,NM Public Employee Retirement/Jim & Victoria Trujillo,,,,,,,Jim & Victoria Trujillo/San Miguel/residential lot,,,,,,,,,,,,,,,,,,,,2003
46,House,46,Democrat,,,,,,,2/17/17 13:02,Carl Trujillo,Los Alamos Laboratory,senior researcher,material science and engineering,Ellen Cerreta,Los Alamos National Laboratory,material scientist group leader,material science,Los Alamos National Laboratory/Carl Trujillo,Los Alamos National Laboratory/Ellen Cerreta,Tri-Sun Development/Carl Trujillo,,,,,,Carl Trujillo and Ellen Cerreta/Santa Fe/2.4 acres vacant land,Carl Trujillo and Ellen Cerreta/Santa Fe/1.8 acres vacant land,,,Tri-Sun Development/Carl Trujillo/Construction,,,Santa Fe Humane Society/Carl Trujillo,,,CB98 contracting license/Carl Trujillo,,,,,,,,,,2013
47,House,47,Democrat,,,,,,,2/14/17 9:18,Brian Egolf,"Egolf, Ferlic & Harwood",partner,law firm,Kelly Egolf,Verde Food Co.,owner,food company,law firm/Brian Egolf,Business/Kelly Egolf,,,Civil law practice/Brian Egolf,,,,Both/Santa Fe/residential lot,,,,,,,,,,law license/Brian Egolf,,,,,,State engineer/Brian Egolf,Health Department/Brian Egolf,Interstate Stream Commission/Brian Egolf,,2009
48,House,48,Democrat,,,,,,,2/17/17 13:26,Linda Trujillo,Walsh Gallegos,associate attorney,law,Fabian Trujillo,City of Santa Fe,division director,economic development,city of Santa Fe/Fabian Trujillo,state of New Mexico/Linda Trujillo,per diem Santa Fe Public Schools/Linda Trujillo,,education law,,,,,,,,,,,,,,law license/Linda Trujillo,,,,,,,,,,2017
49,House,49,Republican,,,,,,,2/13/17 17:12,Gail Armstrong,none,,,Dale Armstrong,TLC Company Inc.,president,plumbing and utility company,TLC Co./Dale Armstrong,R&D Investments/Dale Armstrong,longer list https://portal.sos.state.nm.us/FinancialDisclosure/Documents/523_STATE%20REPRESENTATIVE.pdf,Pro Fab/Gale Armstrong,,,,,,,,,One Central/Dale Armstrong/income property,Innovation Partners/Dale Armstrong/income property,,TLC Company/Dale Armstrong,Pro Fab/Gail Armstrong,,MM98 mechanical/Dale Armstrong,GF98 fixed works facility/Dale Armstrong,GA98 asphalt & concrete/Dale Armstrong,,,,,,,,2017
50,House,50,Democrat,,,,,,,2/15/17 18:56,Matthew McQueen,Graeser & McQueen,member,law firm,Caroline Seigel,20th Century West Art Appraisal,appraiser,art appraisal,wages & disbursements/Matthew McQueen,stock sales/Matthew McQueen,wages & disbursements/Caroline Seigel,,real estate and business law,,,,,,,,,,,,,,law license/Matthew McQueen,law license/Carolyn Seigel,,,,,EMNRD/Matthew McQueen,,,,2015
51,House,51,Republican,,,,,,,2/14/17 15:16,Stella Yvette Herrell,1st Choice Real Estate,Owner,real estate sales and investment,NA,,,,Real estate contracts,Investment property,Real estate commissions,,,,,,Otero/Alamogordo,Otero/Alamogordo,,,Herrell Properties,,,,,,Real estate license,,,,,,,,,,2011
52,House,52,Democrat,,,,,,,2/14/17 10:07,Doreen Gallegos,Mesilla Valley CASA,executive director,nonprofit,Scott Scanland,"says ""see attachment"" but it isn't online",owner,government affairs/lobbyist,Mesilla Valley Casa/Doreen Gallegos,New Mexico Government Affairs/ Scott Scanland,,,New Mexico Government Affairs/Scott Scanland,,,19 clients listed by Scott Scanland,both/Otero/cabin,,,,S7 Boutique Wines/investor/Scott Scanland,,,,,,Social work/Doreen Gallegos,,,,,,New Mexico State University/Scott Scanland,San Juan College/Scott Scanland,,,2013
53,House,53,Republican,,,,,,,2/14/17 15:46,Ricky Little,R. Little Eng. Inc.,President,structural movers,Cecilia Little,self,,,salary/Ricky Little,Rental income/Ricky Little,,,,,,,Ricky Little/Dona Ana/land,Ricky Little/Dona Ana/305 Mesilla View,Ricky Little and others/Luna/Rifle Range Road,,,,,,,,GB 98/Ricky Little,,,School district bids,,,,,,,2015
54,House,54,Republican,,,,,,,2/17/17 12:58,James Townsend,,,,Paula Townsend,,,,director fee's Holly Energy/James & Paula Townsend,Edward James/James & Paula Townsend,Principal Financial/James & Paula Townsend,,,,,,"James & Paula Townsend Trust/Chavez/37 N. Sky Loop, Roswell",,,,,,,Holly Energy Partners/James Townsend,,,,,,,,,,,,,2015
55,House,55,Republican,,,,,,,2/14/17 8:34,Cathrynn Brown,Brown Law Firm,Attorney/on sabbatical,law,Michael Brown,U.S. Department of Energy,engineer/manager,waste disposal,Salary/Michael Brown,,,,Law - on sabbatical/Cathrynn Brown ,,,,,,,,,,,,,,Law/Cathrynn Brown,,,,,,,,,,2011
56,House,56,Republican,,,,,,,2/14/17 8:45,Zachary Cook,Zach Cook LLC,Attorney,Law firm,Jenny Cook,,,,salary/Zach Cook,,,,general law practice/Zach Cook,,,,,,,,,,,,,,Law license/Zach Cook,,,Village of Ruidoso/Zach Cook,Village of Capitan/Zach Cook,Greentree Solid Waste Authority/Zach Cook,,,,,2009
57,House,57,Republican,,,,,,,2/14/17 13:41,Jason Harper,Sandia National Laboratories,senior member of technical staff,research engineer,Mary Harper,,"""domestic engineer""","""raising responsible US citizens""",salary/Jason Harper,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015
58,House,58,Republican,,,,,,,2/14/17 9:32,Candy Spence Ezzell,self,owner/operator,ranching,T. Calder Ezzell,Hinkle Law Firm,partner,attorney,interests & dividends/both,cattle sales/both,legal/Calder Ezzell,oil and gas/Calder Ezzell,,,,Hinkle law firm represents numerous clients that lobby directly and indirectly through industry associations or through lobbyists,2C Slash Ranch/Chaves,Spence Ranch/Chaves,27 Aidey Land/Chaves,Chaves/undeveloped lot,Spence Farms/Candy Spence Ezzell,Oil & Gas Production; Bellmeade Co/Calder Ezzell,Hinkle Law Firm/Calder Ezzell,Polo Oil & Gas/Calder Ezzell,,,Bar association/Calder Ezzell,Racing commission/both,,Risk Management Division/Calder Ezzell,,,"NM OSE, ED, PRC, OCD/Calder Ezzell",,,,2005
59,House,59,Republican,,,,,,,2/15/17 19:43,Greg Nibert,Hinkle Shanor LLP,partner/attorney,law office,Carolyn Nibert,NA,,,law practice/Greg Nibert,Farm sales of pecans/Carolyn Nibert,,,natural resources/oil & gas/Greg Nibert,,,"Holly Frontier/Navajo Refining Company/Joel Carlson, of counsel to Hinkle Shanor",Greg Nibert/Lea/mineral interests,,,,,,,,,,law license/Greg Nibert,,,"none for Nibert, but law firm represents risk management and possibly other state agencies from time to time",,,,,,,2017
60,House,60,Republican,,,,,,,2/14/17 15:34,Tim Lewis,Albuquerque Public School,teacher,education,Jennifer Lewis,Rio Rancho Public Schools,reading intervention specialist,education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2011
61,House,61,Republican,,,,,,,2/14/17 9:53,David Gallegos,Ramirez & Sons,superintendent,construction,Sonya Gallegos,Eastern Regional Housing Authority/Eunice Housing Authority,Housing manager,low-income housing,retirement/David Gallegos,Ramirez & Sons/David Gallegos,Housing authority/Sonya Gallegos,,,,,,"David Gallegos/Conejos County, CO/ranch",,,,,,,,,,,,,,,,,,,,2013
62,House,62,Republican,,,,,,,2/17/17 11:40,Larry Scott,Lynx Petroleum Consultants,president,oil and gas production,Andrea Scott,na,,,Lynx Petroleum & Capital Chemical/Larry Scott,Coyote Oil & Gas and Wells Fargo/Larry & Andrea Scott,Travco Resources/Larry & Andrea Scott,Badger Energy and Tech-Ridge Scott/Larry & Andrea Scott,Oil and gas production/Larry Scott,commercial real estate investments/Larry Scott,,,Badger Energy/Lea/Rental property,Capitan Chemical/Lea/Rental property,,,,,,,,,,,,,,,,,,,2015
63,House,63,Democrat,,,,,,,2/14/17 9:07,George Dodge,Guadalupe County,County manager,government,Kathryn Dodge,Santa Rosa Consolidated Schools,transportation specialist,education,Guadalupe County/George Dodge,Santa Rosa Schools/Kathryn Dodge,ERB/George Dodge,,,,,,George Dodge/Guadalupe/business,George Dodge/Guadalupe/business,George & Kathryn Dodge/Guadalupe/farm,,,,,,,,,,,,,,,,,,2011
64,House,64,Republican,,,,,,,2/14/17 8:57,Randal Crowder,Randy Crowder Construction,president,construction,Patricia Crowder,,,,Randy Crowder Construction/Randal Crowder,American Self Storage/Both,Real estate/Randal Crowder,,,,,,land/Curry/Randal Crowder,,,,Day Break Investments/Randal Crowder,American Self Storage/Randal Crowder,,,,,GB98 contractors license/Randal Crowder,,,,,,,,,,2015
65,House,65,Democrat,,,,,,,2/14/17 15:28,Derrick Lente,Lente Farms,owner,farm/ranch,NA,,,,"$150,000/Lente Farms","$45,000/Pueblo of Sandia",,,,,,,Sandoval/vacant lots in Rio Rancho Estates,,,,,,,,,,,,,,,,Middle Rio Grande Conservancy Agency,,,"Lente is an elected board member of the Rio Grande Conservancy District, and opted out of compensation for his participation upon taking office.",2017
66,House,66,Republican,,,,,,,2/17/17 13:32,Bobby Wooley,CEI Inc.,CEO & President,low-voltage cabling company,Janna Wooley,retired school district employee,,,CEI Inc./Bobby Wooley,State Farm retirement & VA Disability/Bobby Wooley,Social Security/Bobby and Janna Wooley,Roswell School District/Janna Wooley,,,,,Bobby and Janna Wooley and Donna Harper/Chaves/15-acre farm,,,,CEI Inc./Bobby Wooley,,,CEI Inc./Bobby Wooley,,,,,,,,,,,,,2011
67,House,67,Republican,,,,,,,2/17/17 10:19,Dennis Roch,Logan Municipal Schools,admistrator,K-12 education,Rochelle Roch,Tucumcari Public Schools,teacher,K-12 education,Salary/Dennis Roch,Sallary/Rochelle Roch,Rental income/Dennis Roch,,,,,,Dennis Roch/Quay/rental home,Dennis Roch/Quay/rental home,,,,,,,,,K-12 educator/Dennis Roch,K-12 educator/Rochelle Roch,,,,,,,,,2009
68,House,68,Republican,,,,,,,2/17/17 13:36,Monica Youngblood,Monica Youngblood Realty Group,owner/associate broker,real estate,Thomas Youngblood,Chavez-Grieves Consulting Engineers,President/CEO,engineering,"wages from Chavez-Grieves Engineers, part-time/Monica Youngblood",,,,Consulting engineers/Thomas Youngblood,,,,MREI LLC/Bernalillo/residential rental property,4700 Lincoln LLC/Bernalillo/commercial property,,,,,,Life Quest New Mexico/Thomas Youngblood,,,engineer/Thomas Youngblood,real estate/Monica Youngblood,,,,,,,,,2013
